date,garch_condvol_ann_pct
1987-05-21,12.040602263222105
1987-05-22,13.028460431856736
1987-05-25,13.202688327141612
1987-05-26,13.186430384240614
1987-05-27,13.138719522001466
1987-05-28,13.118350622092956
1987-05-29,13.06568338367032
1987-06-01,13.035875837647074
1987-06-02,13.088993043130486
1987-06-03,13.05044575269986
1987-06-04,13.100902223873302
1987-06-05,13.061039543523275
1987-06-08,13.481416569494979
1987-06-09,13.601847847459922
1987-06-10,13.51506798204602
1987-06-11,13.42546190815388
1987-06-12,13.624032383421254
1987-06-16,13.728721613405536
1987-06-17,13.915646487556169
1987-06-18,14.13127411292093
1987-06-19,13.988174767041784
1987-06-22,13.855699226964685
1987-06-23,13.774882770723265
1987-06-24,14.63162396626349
1987-06-25,14.989251029743562
1987-06-26,14.841945576597256
1987-06-29,17.422879027524534
1987-06-30,17.079390326403367
1987-07-01,16.804001502857638
1987-07-02,16.658948890509144
1987-07-03,17.581118628151444
1987-07-06,17.2477149089349
1987-07-07,17.208549557386835
1987-07-08,16.81238358421205
1987-07-09,16.458414320641182
1987-07-10,16.790837333128156
1987-07-13,16.456123694763424
1987-07-14,16.269528013970337
1987-07-15,15.976195618895684
1987-07-16,18.256987062791364
1987-07-17,17.973825168824348
1987-07-20,18.268243229856214
1987-07-21,17.908390187170674
1987-07-22,18.127146785493558
1987-07-23,17.67170096614167
1987-07-24,17.805143842375568
1987-07-27,22.275890415356763
1987-07-28,22.660287091283358
1987-07-29,24.757862616872515
1987-07-30,24.28592624119876
1987-07-31,23.938811888456097
1987-08-03,23.460837206766854
1987-08-04,31.10632581023725
1987-08-05,30.640439546132388
1987-08-06,35.7299139193998
1987-08-07,34.19052675807355
1987-08-10,32.81510331572029
1987-08-11,31.907384570786114
1987-08-12,30.559534736203535
1987-08-13,29.30740617328332
1987-08-14,28.236525424573518
1987-08-17,27.385777309183418
1987-08-18,28.23704312369261
1987-08-19,27.243386989362524
1987-08-20,26.99852809961608
1987-08-21,26.49897769558593
1987-08-24,26.052098198905632
1987-08-25,30.22687725353763
1987-08-26,29.02717352708633
1987-08-27,31.44618953661557
1987-08-28,30.46585825474913
1987-08-31,29.291072626686926
1987-09-01,30.17484948720718
1987-09-02,29.42131475086826
1987-09-03,28.234962421121736
1987-09-04,27.751017225232438
1987-09-07,26.691117132061827
1987-09-08,29.430068095025746
1987-09-09,28.295850196474525
1987-09-10,27.75957875775621
1987-09-11,28.61565427240278
1987-09-14,27.66407382182398
1987-09-15,26.584725250838392
1987-09-16,27.3482274025587
1987-09-17,26.27051995470874
1987-09-18,25.41173226368119
1987-09-21,24.71478352634799
1987-09-22,23.81057407999457
1987-09-23,23.496980844073803
1987-09-24,22.660631624666102
1987-09-25,22.43528461237512
1987-09-28,21.7841509937162
1987-09-29,21.08797159834909
1987-09-30,20.81156286598548
1987-10-01,20.1653817442177
