month,gpr,gprt,gpra,gprc_isr,gprc_sau,gprc_rus,gprc_egy,gprc_tur
1985-01-01,102.17337799072266,107.57417297363281,89.64749145507812,0.36256906390190125,0.05179557949304581,1.4071133136749268,0.07769337296485901,0.05179557949304581
1985-02-01,117.10202026367188,126.4427261352539,96.60166931152344,0.6285238862037659,0.12015897780656815,1.3679637908935547,0.11091598123311996,0.01848599687218666
1985-03-01,124.77815246582031,127.07085418701172,116.98727416992188,0.5613864064216614,0.05695224180817604,1.5051664113998413,0.17085672914981842,0.23594500124454498
1985-04-01,87.92900085449219,94.64019775390625,73.75779724121094,0.42134830355644226,0.10143570601940155,0.9051185846328735,0.12484394758939743,0.1170412003993988
1985-05-01,103.26284790039062,111.15978240966797,92.27672576904297,0.41152262687683105,0.09385603666305542,1.1623709201812744,0.04331817105412483,0.021659085527062416
1985-06-01,148.78282165527344,134.65670776367188,174.1437530517578,1.3849350214004517,0.0923289954662323,1.2387473583221436,0.20004616677761078,0.06924674659967422
1985-07-01,133.90542602539062,126.30107879638672,149.5423583984375,0.9275016784667969,0.1276378482580185,1.0806671380996704,0.10211028158664703,0.1276378482580185
1985-08-01,82.78410339355469,75.26383972167969,84.87953186035156,0.29359951615333557,0.033554233610630035,0.7298045754432678,0.05871990695595741,0.041942790150642395
1985-09-01,102.43449401855469,101.56950378417969,92.48631286621094,0.28580501675605774,0.09526833891868591,0.8891711831092834,0.08732931315898895,0.0396951399743557
1985-10-01,105.99191284179688,91.34220886230469,118.73129272460938,1.1567164659500122,0.10447761416435242,1.2388060092926025,0.7164179086685181,0.06716418266296387
1985-11-01,94.84818267822266,98.25837707519531,80.12213897705078,0.4142242968082428,0.0781555324792862,1.273935079574585,0.34388431906700134,0.03126221150159836
1985-12-01,96.4211654663086,80.3045654296875,111.21063232421875,0.7565011978149414,0.08668242394924164,1.1111111640930176,0.2600472867488861,0.0788022056221962
1986-01-01,135.36074829101562,137.66831970214844,166.0226287841797,1.043997049331665,0.09114259481430054,1.3505675792694092,0.3562847077846527,0.1325710564851761
1986-02-01,98.75003051757812,84.02117919921875,114.81560516357422,0.5237493515014648,0.09933176636695862,1.0384684801101685,0.1625428944826126,0.09933176636695862
1986-03-01,98.67667388916016,85.12946319580078,117.56116485595703,0.34338974952697754,0.10628730058670044,1.0465211868286133,0.1389910876750946,0.14716704189777374
1986-04-01,148.31385803222656,142.49339294433594,182.87278747558594,0.7469499707221985,0.2738816440105438,1.427504301071167,0.5228649973869324,0.4730682969093323
1986-05-01,117.38924407958984,126.68498992919922,114.20220947265625,0.5963565111160278,0.22873948514461517,1.1028510332107544,0.17155461013317108,0.13070827722549438
1986-06-01,96.29425048828125,106.94334411621094,80.0658187866211,0.2536409795284271,0.10636556893587112,1.0472917556762695,0.05727376788854599,0.09818360209465027
1986-07-01,94.70178985595703,99.80805206298828,83.9753189086914,0.2831888794898987,0.05148888751864433,0.9525443911552429,0.07723332941532135,0.03432592377066612
1986-08-01,103.34593963623047,104.75926971435547,99.84519958496094,0.3583034873008728,0.06666111201047897,1.1165735721588135,0.24164652824401855,0.08332639187574387
1986-09-01,117.1078872680664,106.35902404785156,126.74607849121094,0.8124743700027466,0.057447683066129684,1.2966762781143188,0.22158391773700714,0.2954452335834503
1986-10-01,96.79243469238281,109.01692199707031,77.40582275390625,0.3115974962711334,0.06839945167303085,1.4363884925842285,0.0987992063164711,0.06839945167303085
1986-11-01,109.77281951904297,124.65135192871094,89.47162628173828,0.8271035552024841,0.1670112907886505,1.01797354221344,0.10338794440031052,0.14315253496170044
1986-12-01,89.75377655029297,93.46377563476562,78.10250091552734,0.47412407398223877,0.1125040203332901,0.9964641332626343,0.09643201529979706,0.08036001026630402
1987-01-01,96.94281768798828,90.4955062866211,104.48915100097656,0.5275008082389832,0.1801222264766693,0.8427147269248962,0.09649404883384705,0.05789643153548241
1987-02-01,100.683349609375,109.72402954101562,89.29598236083984,0.5709568858146667,0.15133796632289886,0.9699387550354004,0.0963059812784195,0.05503198876976967
1987-03-01,89.60771942138672,105.55125427246094,67.09355163574219,0.4031519293785095,0.07330034673213959,1.044529914855957,0.06719198822975159,0.15270905196666718
1987-04-01,113.39408111572266,117.12814331054688,99.12645721435547,0.4577322006225586,0.046352628618478775,1.5180485248565674,0.11588156968355179,0.06373486667871475
1987-05-01,98.65091705322266,97.37140655517578,95.23518371582031,0.33898305892944336,0.17810973525047302,1.1663315296173096,0.0861821323633194,0.03447285294532776
1987-06-01,94.18240356445312,99.82925415039062,81.82940673828125,0.224573016166687,0.12410613894462585,1.2292417287826538,0.09455706179141998,0.06500797718763351
1987-07-01,98.87196350097656,107.52894592285156,88.26481628417969,0.33739790320396423,0.19533562660217285,1.136498212814331,0.047354090958833694,0.08286965638399124
1987-08-01,99.96844482421875,115.48031616210938,87.60133361816406,0.36053359508514404,0.4206225275993347,1.2258142232894897,0.07811561226844788,0.09013339877128601
1987-09-01,121.16707611083984,143.4519805908203,97.5398178100586,0.2826651334762573,0.2942024767398834,1.5806171894073486,0.08076146245002747,0.08076146245002747
1987-10-01,101.05858612060547,110.70101928710938,88.82691192626953,0.20866508781909943,0.2910328805446625,1.081763744354248,0.09335017204284668,0.054911866784095764
1987-11-01,96.15348815917969,110.79949951171875,75.88374328613281,0.2906810939311981,0.1652892529964447,1.1684240102767944,0.13109147548675537,0.03419777750968933
1987-12-01,109.85638427734375,124.4972915649414,88.26872253417969,0.3699066638946533,0.15365354716777802,1.6446619033813477,0.11381743848323822,0.05690871924161911
1988-01-01,83.20153045654297,87.14092254638672,72.89557647705078,0.420725017786026,0.12103048712015152,0.8990836143493652,0.14984726905822754,0.0922137051820755
1988-02-01,86.20614624023438,90.18925476074219,73.8230972290039,0.4377517104148865,0.07587696611881256,0.9688904285430908,0.0875503420829773,0.0700402706861496
1988-03-01,110.20651245117188,105.9420166015625,109.30101776123047,0.6177522540092468,0.1463097482919693,1.0946136713027954,0.2221740484237671,0.048769913613796234
1988-04-01,119.45051574707031,113.93638610839844,128.48338317871094,0.7396706342697144,0.29471251368522644,1.1037272214889526,0.17336030304431915,0.08668015152215958
1988-05-01,104.87347412109375,106.54883575439453,97.1541748046875,0.4477859437465668,0.08292332291603088,1.177511215209961,0.06081043556332588,0.03869755193591118
1988-06-01,79.70812225341797,74.01183319091797,81.0764389038086,0.44544684886932373,0.07330138236284256,0.7893995046615601,0.11277135461568832,0.0845785140991211
