parameter,value
omega,0.06127321513402689
alpha,0.0912947646970715
beta,0.9020442669862153
alpha+beta,0.9933390316832869
loglik,-21236.190073640137
n_obs,9907.0
lb10_resid_p,0.00041907953389308164
lb10_sq_resid_p,0.5320662890470323
