,COPS_OPEC
2011-12-01,3.069653
2012-01-01,2.720231
2012-02-01,2.519547
2012-03-01,2.539132
2012-04-01,2.53893
2012-05-01,2.73904
2012-06-01,2.459026
2012-07-01,2.469875
2012-08-01,2.369647
2012-09-01,2.599154
2012-10-01,2.59932
2012-11-01,2.819124
2012-12-01,3.11911
2013-01-01,3.269706
2013-02-01,3.26967
2013-03-01,3.270088
2013-04-01,2.969869
2013-05-01,2.87021
2013-06-01,2.570282
2013-07-01,2.369154
2013-08-01,2.170249
2013-09-01,2.270805
2013-10-01,2.569315
2013-11-01,2.570112
2013-12-01,2.569989
2014-01-01,2.349947
2014-02-01,2.399316
2014-03-01,2.650229
2014-04-01,2.650028
2014-05-01,2.549889
2014-06-01,2.600563
2014-07-01,2.400621
2014-08-01,2.450122
2014-09-01,2.510674
2014-10-01,2.335499
2014-11-01,2.350023
2014-12-01,2.400223
2015-01-01,2.380322
2015-02-01,2.279944
2015-03-01,1.879726
2015-04-01,1.860331
2015-05-01,1.600471
2015-06-01,1.400246
2015-07-01,1.460276
2015-08-01,1.53017
2015-09-01,1.530357
2015-10-01,1.630152
2015-11-01,1.679561
2015-12-01,1.629802
2016-01-01,1.550458
2016-02-01,1.74047
2016-03-01,1.720178
2016-04-01,1.860287
2016-05-01,1.539372
2016-06-01,1.339217
2016-07-01,1.170005
2016-08-01,1.190257
2016-09-01,1.23048
2016-10-01,1.239673
2016-11-01,1.18003
2016-12-01,1.280292
2017-01-01,2.06
2017-02-01,2.22
2017-03-01,2.295
2017-04-01,2.27
2017-05-01,2.15
2017-06-01,1.925
2017-07-01,1.975
2017-08-01,2.01
2017-09-01,1.9
2017-10-01,2.07
2017-11-01,2.06
2017-12-01,2.1
2018-01-01,1.57
2018-02-01,1.59
2018-03-01,1.7
2018-04-01,1.72
2018-05-01,1.65
2018-06-01,1.356
2018-07-01,1.196
2018-08-01,1.215
2018-09-01,1.14
2018-10-01,0.925
2018-11-01,0.63
2018-12-01,1.1
2019-01-01,1.86
2019-02-01,1.83
2019-03-01,2.27
2019-04-01,2.19
2019-05-01,2.14
2019-06-01,2.04
2019-07-01,2.31
2019-08-01,2.16
2019-09-01,1.26
2019-10-01,1.41
2019-11-01,1.710086
2019-12-01,2.2
2020-01-01,2.27
2020-02-01,2.27
2020-03-01,2.215
2020-04-01,0.645
2020-05-01,5.057917
2020-06-01,6.57
2020-07-01,5.84
2020-08-01,5.08
2020-09-01,4.865
2020-10-01,4.6
2020-11-01,4.55
2020-12-01,4.415
2021-01-01,4.115
2021-02-01,5.025
2021-03-01,5.015
2021-04-01,5.015
2021-05-01,4.623
2021-06-01,4.155
2021-07-01,3.47
2021-08-01,3.255
2021-09-01,3.045
2021-10-01,2.78
2021-11-01,2.455
2021-12-01,2.45
2022-01-01,2.31
2022-02-01,1.88
2022-03-01,2.075
2022-04-01,1.66
2022-05-01,1.7554
2022-06-01,1.56
2022-07-01,1.1
2022-08-01,0.7
2022-09-01,0.64
2022-10-01,1.2
2022-11-01,1.42
2022-12-01,1.47
2023-01-01,2.24
2023-02-01,2.06
2023-03-01,1.8526
2023-04-01,1.365
2023-05-01,2.131
2023-06-01,1.982
2023-07-01,2.85
2023-08-01,3.322
2023-09-01,2.85
2023-10-01,3.079
2023-11-01,3.209
2023-12-01,3.468
2024-01-01,3.437
2024-02-01,3.29
2024-03-01,3.131
2024-04-01,3.149
2024-05-01,3.439
2024-06-01,3.858
2024-07-01,3.519
2024-08-01,3.479
2024-09-01,3.847
2024-10-01,3.779
2024-11-01,3.875
2024-12-01,3.956
2025-01-01,4.018
2025-02-01,4.026
2025-03-01,3.691
2025-04-01,3.942
2025-05-01,3.751
2025-06-01,3.047
2025-07-01,3.484
2025-08-01,3.555
2025-09-01,2.568
2025-10-01,2.995
2025-11-01,3.075
2025-12-01,2.995
2026-01-01,2.955
2026-02-01,2.215
2026-03-01,0.03
2026-04-01,0.01
2026-05-01,0.03
2026-06-01,0.04
2026-07-01,0.04
2026-08-01,0.04
2026-09-01,0.04
2026-10-01,0.04
2026-11-01,0.04
2026-12-01,0.04
2027-01-01,0.03
2027-02-01,2.58
2027-03-01,2.48
2027-04-01,2.48
2027-05-01,2.48
2027-06-01,2.38
2027-07-01,2.38
2027-08-01,2.38
2027-09-01,2.48
2027-10-01,2.48
2027-11-01,2.58
2027-12-01,2.58
